material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
4PAAO,atom,22,atom_22,0.2277586460113525,0.2277586460113525,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,0,Alkyl,,-0.4217438399791717,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,1,TailSym,,-0.3773059844970703,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,2,TailPlanarity,,-0.4442929625511169,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,3,NumHAcceptors,,-0.1694165766239166,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,4,NumHDonors,,0.1075797379016876,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,5,TPSA,,-0.0079711889848113,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,6,MolLogP,,-1.3991445302963257,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,7,HOMO,,-0.8018915057182312,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,8,dipole,,-0.6564067006111145,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,9,MPI,,-1.5719311237335205,negative,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,10,surface_min,,1.1308835744857788,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,11,surface_max,,0.7568637132644653,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PAAO,extra_feature,12,PSA,,4.185812940704636e-05,positive,O=c1c2ccccc2n(CCCCP(=O)(O)O)c2ccccc12,-1.6701165437698364,PCE
4PABAP,atom,0,atom_0,-0.2098984122276306,-0.2098984122276306,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,1,atom_1,0.0060124844312667,0.0060124844312667,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,2,atom_2,-0.0049982294440269,-0.0049982294440269,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,3,atom_3,-0.0049982294440269,-0.0049982294440269,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,4,atom_4,0.6143350601196289,0.6143350601196289,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,5,atom_5,0.8019924163818359,0.8019924163818359,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,6,atom_6,0.2757331132888794,0.2757331132888794,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,7,atom_7,-0.6574689745903015,-0.6574689745903015,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,8,atom_8,1.087996482849121,1.087996482849121,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,9,atom_9,0.0785309001803398,0.0785309001803398,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,10,atom_10,-0.120706669986248,-0.120706669986248,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,11,atom_11,-0.2149329185485839,-0.2149329185485839,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,12,atom_12,-0.254970371723175,-0.254970371723175,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,13,atom_13,-0.2024648785591125,-0.2024648785591125,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,14,atom_14,0.1078181639313697,0.1078181639313697,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,15,atom_15,-0.0161871090531349,-0.0161871090531349,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,16,atom_16,-0.0161871090531349,-0.0161871090531349,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,17,atom_17,0.1078181639313697,0.1078181639313697,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,18,atom_18,-0.2024648785591125,-0.2024648785591125,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,19,atom_19,-0.254970371723175,-0.254970371723175,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,20,atom_20,-0.2149329185485839,-0.2149329185485839,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,21,atom_21,-0.120706669986248,-0.120706669986248,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,atom,22,atom_22,0.0785309001803398,0.0785309001803398,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,0,Alkyl,,-0.7183151245117188,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,1,TailSym,,-0.1290441304445266,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,2,TailPlanarity,,1.334953546524048,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,3,NumHAcceptors,,-1.277629017829895,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,4,NumHDonors,,-0.0890448838472366,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,5,TPSA,,-0.4762203097343445,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,6,MolLogP,,0.5513367652893066,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,7,HOMO,,-4.304366111755371,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,8,dipole,,0.0845724716782569,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,9,MPI,,-1.346225023269653,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,10,surface_min,,3.1500144004821777,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,11,surface_max,,-1.2010414600372314,negative,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PABAP,extra_feature,12,PSA,,1.3625906705856323,positive,O=P(O)(O)CCCCN1c2ccccc2C=Cc2ccccc21,2.5426642894744877,PCE
4PACZ,atom,0,atom_0,-0.0510075017809867,-0.0510075017809867,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,1,atom_1,-0.1063465848565101,-0.1063465848565101,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,2,atom_2,-0.121332474052906,-0.121332474052906,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,3,atom_3,-0.121332474052906,-0.121332474052906,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,4,atom_4,-0.4319052100181579,-0.4319052100181579,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,5,atom_5,-0.4524466395378113,-0.4524466395378113,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,6,atom_6,-0.3711250722408294,-0.3711250722408294,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,7,atom_7,-0.2627054452896118,-0.2627054452896118,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,8,atom_8,0.0851460099220275,0.0851460099220275,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,9,atom_9,0.0938465595245361,0.0938465595245361,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,10,atom_10,-0.1597327888011932,-0.1597327888011932,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,11,atom_11,-0.1240923702716827,-0.1240923702716827,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
